Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Akuntsu,akun1241,0,0,11,0,0,9,17,14,0,14,1,0,8,0,7,5,0,3,3,0,0,16,11,2,5,4,8,0,0,17,0,0,1,0,0,0,0
Akurio,akur1238,0,0,14,0,7,8,19,17,1,17,1,0,2,0,7,5,0,4,3,1,1,17,9,2,5,5,12,0,0,19,0,0,1,0,0,0,0
Alabama,alab1237,0,0,6,0,3,12,11,13,5,9,0,0,2,2,7,3,0,6,5,2,2,9,4,2,3,3,5,0,0,12,0,1,1,0,0,0,0
Alabama,alab1237,0,0,3,0,0,11,8,10,5,6,0,0,2,2,6,2,0,6,5,2,2,6,3,1,2,2,4,0,0,9,0,1,0,0,0,0,0
Alaba-K'abeena,alab1254,0,0,10,0,31,46,24,30,18,18,0,2,6,2,15,5,2,28,16,12,14,22,16,2,8,6,6,0,0,36,0,2,10,0,8,0,0
Alamblak,alam1246,0,0,7,0,0,16,13,14,6,10,1,0,3,0,7,3,0,9,5,4,4,12,8,1,3,3,5,0,0,17,0,3,0,0,0,0,0
Alawa,alaw1244,0,0,5,0,1,20,22,13,1,12,1,0,10,3,4,1,0,14,9,5,0,14,11,1,8,2,2,0,0,22,0,0,1,0,0,0,0
Alawa,alaw1244,0,0,4,0,0,19,21,11,0,11,0,1,10,3,4,1,0,14,7,4,0,9,7,1,3,2,2,0,0,21,0,0,0,0,0,0,0
Alawa,alaw1244,0,0,4,0,0,20,16,11,0,11,0,1,5,3,5,2,0,14,9,4,0,13,11,1,7,2,5,0,0,16,0,0,0,5,0,0,0
Aleut,aleu1260,0,0,3,0,0,19,13,17,11,7,0,0,6,2,5,3,0,9,7,3,3,15,11,1,3,6,6,0,0,13,0,2,0,0,0,0,0
Aleut,aleu1260,0,0,6,0,3,25,18,24,13,12,0,1,6,2,10,4,2,10,7,4,3,18,13,2,4,7,8,0,0,19,0,2,1,0,0,0,0
Alladian,alla1248,0,0,11,0,0,21,19,23,7,16,1,0,6,1,13,6,2,12,7,5,4,21,13,2,10,5,7,0,0,27,0,1,0,0,0,0,0
Alladian,alla1248,2,0,11,0,0,20,18,21,6,15,0,0,6,1,13,6,2,11,6,5,4,21,13,2,10,5,9,0,0,26,0,0,0,0,0,0,0
Alngith,alng1239,0,0,4,0,0,21,14,12,3,9,0,1,5,1,6,2,0,13,12,7,0,13,11,2,6,2,4,0,0,17,0,0,1,5,0,0,0
Alutor,alut1245,0,0,9,1,5,16,18,17,3,14,0,1,4,2,7,3,1,7,7,6,1,18,12,2,7,5,6,2,0,20,1,0,1,0,0,0,0
Alyawarr,alya1239,0,0,3,0,0,36,31,19,0,19,0,2,12,8,22,20,0,28,20,12,0,17,15,1,9,2,5,0,0,31,0,0,0,0,0,0,0
Alyawarr,alya1239,0,0,7,0,3,24,26,14,0,14,1,1,12,4,9,6,0,18,9,8,0,15,13,2,7,3,6,0,0,26,0,0,0,0,0,0,0
Amahuaca,amah1246,0,0,8,0,0,12,13,15,6,11,1,0,6,0,5,3,0,7,5,2,4,12,8,2,3,3,8,0,0,13,0,1,1,0,0,0,0
Amahuaca,amah1246,0,0,8,0,0,11,13,15,5,11,1,0,6,0,5,3,0,6,5,2,2,12,8,2,3,5,6,0,0,13,0,1,1,0,0,0,0
Amahuaca,amah1246,0,0,8,0,0,11,13,15,5,11,1,0,6,0,5,3,0,6,5,2,2,12,8,2,3,5,4,0,0,13,0,1,1,0,0,0,0
Amanab,aman1265,0,0,5,0,0,11,11,11,3,8,0,1,3,0,7,3,1,4,4,0,1,10,7,1,3,3,6,0,0,13,0,1,0,0,0,0,0
Amurdak,amar1271,0,0,3,0,0,19,18,14,1,13,3,1,5,5,4,2,0,14,8,4,0,11,10,1,5,2,4,0,0,19,0,0,0,0,0,0,0
Amarakaeri,amar1274,0,0,18,0,9,13,27,23,2,21,1,0,14,0,8,5,0,5,5,0,1,24,12,4,9,5,16,0,0,27,0,0,1,0,0,0,0
Ama (Sudan),amas1236,0,0,7,0,0,16,16,13,1,12,1,0,4,2,6,4,0,11,9,4,1,14,9,1,6,4,6,0,0,21,0,0,0,0,0,0,0
Ambele,ambe1247,3,0,10,0,0,35,25,19,11,13,0,0,12,1,20,11,1,16,10,6,8,28,22,1,9,4,8,0,0,34,0,1,0,0,0,0,0
Ambonese Malay,ambo1250,0,0,5,0,0,16,13,11,2,9,0,1,4,1,7,3,1,9,6,3,1,13,10,1,6,3,6,0,0,17,0,0,0,0,0,0,0
Ambulas,ambu1247,0,0,7,0,1,15,19,13,2,11,0,1,8,1,7,3,1,8,6,2,1,14,10,2,5,3,7,0,0,20,0,0,0,0,0,0,0
Amdo Tibetan,amdo1237,0,0,6,0,0,52,24,16,19,10,0,1,21,2,10,2,1,33,15,13,16,25,18,1,10,5,5,0,0,32,0,14,0,0,0,0,0
Amdo Tibetan,amdo1237,0,0,10,0,0,46,18,25,22,14,0,1,11,2,10,4,1,29,13,11,16,27,17,2,9,9,7,0,0,35,0,9,0,0,0,0,0
Amdo Tibetan,amdo1237,0,0,6,0,0,40,18,26,22,10,0,1,8,2,9,3,1,26,19,8,15,24,18,1,11,5,6,0,0,24,0,9,0,0,0,0,0
Amele,amel1241,0,0,5,0,0,13,9,11,4,7,0,0,2,1,7,3,1,6,5,1,1,10,7,1,4,3,3,0,0,14,0,1,1,0,0,0,0
Amharic,amha1245,0,0,7,0,21,48,19,27,20,13,1,1,6,2,15,7,2,30,18,12,16,20,16,1,5,3,7,0,0,32,0,2,11,0,10,0,0
Amharic,amha1245,0,0,7,0,29,55,24,29,20,15,0,2,9,2,26,17,2,27,16,11,14,24,20,1,5,4,9,0,0,40,0,2,9,0,9,0,0
Amharic,amha1245,0,0,7,0,0,26,14,19,11,11,1,0,3,1,13,8,1,15,9,6,8,16,12,1,4,3,5,0,0,21,0,2,5,0,5,0,0
Ami,amii1238,0,0,5,0,0,25,18,14,2,12,0,1,6,3,7,3,0,18,13,8,1,14,11,1,7,2,6,0,0,20,0,0,0,6,0,0,0
Amo,amoo1242,0,0,10,0,0,22,18,20,9,14,0,1,4,1,13,6,2,12,8,4,6,18,12,2,6,5,6,0,0,25,0,1,0,0,0,0,0
Amundava,amun1246,0,0,12,0,0,13,18,15,3,13,1,0,11,0,9,6,0,5,3,2,1,17,11,2,5,4,10,0,0,19,0,1,1,0,0,0,0
Andegerebinha,ande1247,0,0,4,0,0,36,32,20,0,20,0,2,12,8,23,21,0,28,20,12,0,18,16,1,9,3,6,0,0,32,0,0,0,0,0,0,0
Andi,andi1255,0,0,5,0,26,59,11,29,30,9,0,1,4,5,20,16,0,27,18,9,16,33,18,1,3,15,6,0,0,27,0,2,14,0,12,0,0
Andoa,ando1255,0,0,10,0,5,12,15,16,5,13,1,0,2,0,8,6,0,7,5,2,4,14,10,2,3,5,10,0,0,15,0,1,1,0,0,0,0
Andoque,ando1256,0,0,15,0,0,10,16,18,4,16,0,1,6,0,7,4,0,5,3,5,2,16,5,4,4,5,4,0,0,19,0,1,1,0,0,0,0
Andoque,ando1256,0,0,24,0,9,10,26,28,3,25,1,0,7,0,11,8,0,6,4,2,1,27,10,8,8,15,16,0,0,29,0,1,0,0,0,0,0
Aneityum,anei1239,0,0,5,0,0,18,14,15,7,9,1,0,5,1,9,5,2,8,6,3,1,12,9,1,5,3,2,0,0,16,0,1,1,0,0,0,0
Anfillo,anfi1235,0,0,10,0,21,33,21,21,8,17,0,1,4,2,14,6,0,18,17,1,7,20,14,2,6,6,12,0,0,28,0,1,10,0,9,0,0
Angami Naga,anga1288,5,0,6,0,0,33,22,21,13,14,0,2,8,2,14,4,5,19,13,6,4,20,16,1,10,4,8,0,0,31,0,11,0,0,0,0,0
Angaataha,anga1290,0,0,9,1,1,10,16,12,1,12,1,0,4,1,6,4,0,5,3,2,1,14,9,4,5,4,6,0,0,16,0,0,1,0,0,0,0
Angkamuthi,angg1238,0,0,6,0,3,15,16,14,3,11,0,1,5,1,6,3,0,10,9,5,0,13,11,2,5,3,6,0,0,19,0,0,0,0,0,0,0
Angolar,ango1258,2,0,12,0,0,20,20,22,8,16,0,1,9,1,11,6,2,12,7,5,6,18,10,2,7,6,10,0,0,27,0,0,0,0,0,1,0
Anguthimri,angu1242,0,0,17,0,5,16,27,26,4,22,0,1,9,1,9,6,0,11,10,6,1,25,14,6,15,4,13,0,0,31,0,0,0,0,0,0,0
Anii,anii1245,2,0,11,0,0,20,20,19,6,15,0,1,5,1,12,5,1,10,6,4,4,20,14,1,6,5,7,0,0,25,0,1,0,0,0,0,0
Anindilyakwa,anin1240,0,0,4,0,0,20,19,12,0,12,0,1,7,4,5,3,0,14,10,6,0,13,10,1,6,1,4,0,0,19,0,0,0,0,0,0,0
Antakarinya,anta1253,0,0,6,0,3,15,18,13,0,13,1,0,5,3,5,3,0,11,7,3,0,10,8,2,3,3,5,0,0,18,0,0,0,0,0,0,0
Antakarinya,anta1253,0,0,6,0,3,15,18,13,0,13,0,1,5,3,5,3,0,11,7,3,0,13,11,2,6,3,6,0,0,18,0,0,0,0,0,0,0
Antakarinya,anta1253,0,0,3,0,0,15,15,10,0,10,1,0,5,3,4,2,0,11,5,2,0,7,6,1,2,2,4,0,0,15,0,0,0,0,0,0,0
Antigua and Barbuda Creole English,anti1245,0,0,13,0,3,21,20,24,9,17,0,1,3,1,11,6,2,13,7,6,6,20,15,5,8,6,12,0,0,28,0,1,0,0,0,0,0
Anuak,anua1242,4,0,24,0,10,17,33,28,0,28,0,1,5,1,14,11,0,11,8,6,0,32,20,2,14,13,12,0,0,38,0,0,0,0,0,0,0
Anufo,anuf1239,2,0,12,0,0,40,26,28,9,19,0,1,12,2,30,16,2,18,12,8,5,41,33,2,25,6,10,0,0,38,0,1,0,0,0,0,0
Anufo,anuf1239,2,0,19,0,7,19,27,26,6,22,0,0,10,1,16,9,1,9,5,4,4,28,15,3,10,9,12,0,0,32,0,1,0,0,0,0,0
Anyin Morofo,anyi1244,0,0,16,0,0,18,23,23,6,19,0,0,10,1,14,8,1,9,5,4,3,25,17,2,9,7,8,0,0,28,0,1,0,0,0,0,0
Anyin Morofo,anyi1244,4,0,14,0,3,27,30,24,7,17,0,0,18,0,19,8,3,13,8,5,3,28,22,2,13,7,9,0,0,37,0,1,0,0,0,0,0
Anyin,anyi1245,5,0,16,0,0,15,22,23,3,20,0,0,8,1,14,8,1,7,5,2,1,25,17,2,10,9,9,0,0,27,0,1,0,0,0,0,0
Anyin,anyi1245,5,0,14,0,0,14,19,21,4,17,0,1,7,0,11,7,1,8,5,3,2,20,14,2,9,7,8,0,0,23,0,1,0,0,0,0,0
Anyin,anyi1245,4,0,14,0,0,18,20,20,6,16,0,0,9,0,14,8,1,8,4,4,4,22,16,2,8,7,8,0,0,25,0,1,1,0,0,0,0
Ao Naga,aona1235,3,0,8,0,0,22,16,16,6,13,1,0,3,2,8,4,0,13,10,3,3,17,12,1,6,5,7,0,0,21,0,4,1,0,0,0,0
Ao Naga,aona1235,0,0,6,0,0,12,13,12,4,10,0,0,3,2,5,3,0,7,5,1,2,11,8,1,4,4,7,0,0,14,0,0,1,0,0,0,0
Apalaí,apal1257,0,0,12,0,0,10,17,18,3,15,1,0,8,0,7,5,0,6,5,1,3,15,9,2,5,5,12,0,0,18,0,0,1,0,0,0,0
Apatani,apat1240,3,0,13,0,1,22,23,20,5,17,1,0,8,2,11,4,0,11,8,3,1,26,19,2,14,6,8,0,0,30,0,1,0,0,0,0,0
Apiaká,apia1248,0,0,10,0,0,9,16,15,2,13,1,0,7,0,6,4,0,4,4,0,1,14,9,2,5,4,10,0,0,16,0,1,1,0,0,0,0
Apinayé,apin1244,0,0,17,0,0,15,27,22,4,20,1,0,13,0,10,6,1,8,5,3,3,22,11,1,7,7,13,0,0,27,0,0,1,0,0,0,0
